                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                       1                                      660                  2.0000000000000000E+000                  2.0000000000000000E-002                  1.0000000000000001E-005                  1.0000000000000001E-005                  4.9507350768172710E+003                  1.2076226111928651E+001                  4.7236684232052761E+000                 -5.8156235669171634E+000                  6.9999999999999996E-001                  2.9797635251138025E-005                  2.7997020236474890E-001                  3.4468833607860789E-003                  1.0103427409336066E-003                  9.3805276451495410E-003                  2.0850244238750362E-003                  2.0000000000000000E+000                  0.0000000000000000E+000                  1.3999999999999992E+000                  5.9595270502276043E-005                  5.5994040472949791E-001                  6.8937667215721561E-003                  2.0206854818672136E-003                  1.8761055290299082E-002                  4.1700488477500724E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.2654273722618454E+004                  1.6513162653886988E+006                  1.6561465324207871E+009                  5.0499059732879417E-007                  5.0499059732879407E-007                  0.0000000000000000E+000                  2.0203698020969161E-008                  5.0000000000000000E+001                  1.0000000000000000E+003                  3.1557600000000002E+002                                "r26.4.1"                               "gfortran"                                 "15.2.0"                   "aarch64-macos-26.3.2"                                 "CRMATH"                               "20260504"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                       pp                                      cno                                tri_alpha                               luminosity 
                                       1                  2.0000000000000000E+000                  6.7427940481229642E-001                  3.6946802890450674E+000                 -7.2326680004977559E+000                  4.2658037349513043E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  8.5854338316146259E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2076226111928651E+001 
                                       2                  1.9999999999979998E+000                  6.7427933864030143E-001                  3.6947140850601317E+000                 -7.2324316134750033E+000                  4.2660739614645662E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  8.5901092545744057E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2076226159480472E+001 
                                       3                  1.9999999999936251E+000                  6.7427919396772285E-001                  3.6947604904363995E+000                 -7.2321074526591280E+000                  4.2664445875372783E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  8.5965248677046354E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2076226224348590E+001 
                                       4                  1.9999999999892502E+000                  6.7427904940294525E-001                  3.6948135453139752E+000                 -7.2317373899490880E+000                  4.2668677738208185E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  8.6038548041936996E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2076226289188080E+001 
                                       5                  1.9999999999836251E+000                  6.7427886369204582E-001                  3.6948732622175737E+000                 -7.2313215914912012E+000                  4.2673433668208638E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  8.6120980990072150E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2076226372439693E+001 
                                       6                  1.9999999999780000E+000                  6.7427867815862441E-001                  3.6949695165409899E+000                 -7.2306528308927147E+000                  4.2681085074919309E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  8.6253729951188553E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2076226455640198E+001 
                                       7                  1.9999999999655000E+000                  6.7427826649568101E-001                  3.6951024328885724E+000                 -7.2297327590415277E+000                  4.2691616708129851E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  8.6436698704753099E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2076226640255548E+001 
                                       8                  1.9999999999530000E+000                  6.7427785570277410E-001                  3.6953020107190970E+000                 -7.2283576247419434E+000                  4.2707366485725764E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  8.6710886680424097E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2076226824478796E+001 
                                       9                  1.9999999999280003E+000                  6.7427703671080641E-001                  3.6957020061180788E+000                 -7.2256252155668363E+000                  4.2738695954503951E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  8.7258285747091534E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2076227191715528E+001 
